provider_name_scraped,model_name_scraped,context_window,intelligence_index,response_time_s,tokens_per_s,source_url,last_updated_utc,is_free_source
Cerebras,Llama 4 Scout,32000,43.0,0.38,2877.0,,2025-06-24 16:33:06,true
Cerebras,Llama 3.3 70B,33000,41.0,0.4,2483.2,,2025-06-24 16:33:06,true
SambaNova,Llama 3.2 1B,16000,10.0,0.4,2632.8,,2025-06-24 16:33:06,true
Cerebras,Llama 3.1 8B,33000,24.0,0.46,2243.4,,2025-06-24 16:33:06,true
SambaNova,Llama 3.2 3B,8000,20.0,0.51,1601.6,,2025-06-24 16:33:06,true
Groq,Llama 3 8B,8000,21.0,0.65,1349.5,,2025-06-24 16:33:06,true
Groq,Llama 3.1 8B,128000,24.0,0.72,835.5,,2025-06-24 16:33:06,true
SambaNova,Llama 3.1 8B,16000,24.0,0.74,1178.2,,2025-06-24 16:33:06,true
Parasail,Llama 3.1 8B,131000,24.0,0.75,1146.7,,2025-06-24 16:33:06,true
"Deepinfra (Turbo, FP8)","Llama 4 Maverick (Turbo, FP8)",8000,51.0,0.83,787.4,,2025-06-24 16:33:06,true
Groq,Gemma 2 9B,8000,22.0,0.92,701.4,,2025-06-24 16:33:06,true
Groq,Qwen3 32B,131000,44.0,0.98,646.3,,2025-06-24 16:33:06,true
Groq,Llama 4 Maverick,128000,51.0,1.03,570.6,,2025-06-24 16:33:06,true
Groq,Llama 4 Scout,131000,43.0,1.03,589.0,,2025-06-24 16:33:06,true
Cerebras,Qwen3 32B (Reasoning),41000,59.0,1.1,2761.3,,2025-06-24 16:33:06,true
Cerebras,DeepSeek R1 Distill Llama 70B,66000,48.0,1.2,2503.6,,2025-06-24 16:33:06,true
SambaNova,Llama 4 Maverick,131000,51.0,1.24,779.8,,2025-06-24 16:33:06,true
Simplismart,Llama 3.1 8B,128000,24.0,1.27,464.1,,2025-06-24 16:33:06,true
Groq,Llama 3.3 70B,128000,41.0,1.35,442.4,,2025-06-24 16:33:06,true
FriendliAI,Llama 3.1 8B,128000,24.0,1.36,466.5,,2025-06-24 16:33:06,true
SambaNova,Llama 4 Scout,8000,43.0,1.41,785.2,,2025-06-24 16:33:06,true
SambaNova,Llama 3.3 70B,128000,41.0,1.53,437.0,,2025-06-24 16:33:06,true
Groq,Llama 3 70B,8000,27.0,1.55,378.8,,2025-06-24 16:33:06,true
Parasail,Llama 3.3 70B,131000,41.0,1.56,421.6,,2025-06-24 16:33:06,true
Hyperbolic,Llama 3.1 8B,128000,24.0,1.73,490.8,,2025-06-24 16:33:06,true
Amazon Bedrock,Nova Micro,130000,28.0,1.79,341.2,,2025-06-24 16:33:06,true
Fireworks,Llama 3.1 8B,128000,24.0,1.86,308.3,,2025-06-24 16:33:06,true
Google AI Studio,Gemini 1.5 Flash-8B AI Studio,1000000,31.0,1.94,281.8,,2025-06-24 16:33:06,true
Google (AI_Studio),Gemini 2.5 Flash (AI_Studio),1000000,53.0,2.08,281.4,,2025-06-24 16:33:06,true
Google (AI_Studio),Gemini 2.5 Flash (AI_Studio),1000000,49.0,2.11,292.3,,2025-06-24 16:33:06,true
Amazon Bedrock,Llama 3.1 8B,128000,24.0,2.23,257.9,,2025-06-24 16:33:06,true
Mistral,Ministral 3B,128000,20.0,2.24,253.7,,2025-06-24 16:33:06,true
Amazon Bedrock,Nova Lite,300000,33.0,2.26,259.5,,2025-06-24 16:33:06,true
Amazon Bedrock,Llama 4 Maverick,128000,51.0,2.37,282.3,,2025-06-24 16:33:06,true
Google (AI Studio),Gemini 2.0 Flash (exp) (AI Studio),1000000,46.0,2.45,226.0,,2025-06-24 16:33:06,true
Google (AI Studio),Gemini 2.0 Flash-Lite (Preview) (AI Studio),1000000,N/A,2.49,225.7,,2025-06-24 16:33:06,true
Fireworks,DeepSeek V3 0324 (Mar '25),160000,53.0,2.5,272.4,,2025-06-24 16:33:06,true
Google (AI Studio),Gemini 2.0 Flash (AI Studio),1000000,48.0,2.51,232.2,,2025-06-24 16:33:06,true
Google Vertex,Mistral Small 3.1 Vertex,128000,35.0,2.53,211.6,,2025-06-24 16:33:06,true
Google (Vertex),Gemini 2.5 Flash (Vertex),1000000,53.0,2.54,222.8,,2025-06-24 16:33:06,true
Lambda (FP8),Llama 3.2 3B (FP8),128000,20.0,2.54,213.7,,2025-06-24 16:33:06,true
Google Vertex,Gemini 2.0 Flash Vertex,1000000,48.0,2.55,220.9,,2025-06-24 16:33:06,true
Google (AI Studio),Gemini 2.0 Flash-Lite (Feb '25) (AI Studio),1000000,41.0,2.56,218.6,,2025-06-24 16:33:06,true
CentML,Phi-4 Mini,128000,26.0,2.63,211.3,,2025-06-24 16:33:06,true
Microsoft Azure,Llama 3.1 8B,128000,24.0,2.69,209.2,,2025-06-24 16:33:06,true
Amazon Bedrock,Llama 3.3 70B,128000,41.0,2.7,232.6,,2025-06-24 16:33:06,true
Microsoft Azure,GPT-4.1 nano,1000000,41.0,2.74,241.7,,2025-06-24 16:33:06,true
Google (Vertex),Gemini 1.5 Flash (Sep) (Vertex),1000000,39.0,2.89,185.5,,2025-06-24 16:33:06,true
Together.ai Turbo,Llama 3.1 8B Turbo,128000,24.0,2.97,182.9,,2025-06-24 16:33:06,true
Google (AI Studio),Gemini 1.5 Flash (Sep) (AI Studio),1000000,39.0,3.01,184.8,,2025-06-24 16:33:06,true
Together.ai,Mistral 7B,8000,10.0,3.02,175.5,,2025-06-24 16:33:06,true
Together.ai,Llama 3 8B,8000,21.0,3.07,177.2,,2025-06-24 16:33:06,true
AI21 Labs,Jamba 1.6 Mini,256000,18.0,3.07,203.4,,2025-06-24 16:33:06,true
Alibaba Cloud,Qwen3 0.6B,33000,17.0,3.08,232.1,,2025-06-24 16:33:06,true
Deepinfra,Llama 3.2 1B,128000,10.0,3.09,176.7,,2025-06-24 16:33:06,true
Amazon Bedrock,Llama 3.2 11B (Vision),128000,N/A,3.1,188.5,,2025-06-24 16:33:06,true
Parasail (FP8),Llama 4 Maverick (FP8),1000000,51.0,3.11,181.1,,2025-06-24 16:33:06,true
Nebius Fast,Gemma 2 9B Fast,8000,22.0,3.12,189.8,,2025-06-24 16:33:06,true
FriendliAI,Llama 3.3 70B,128000,41.0,3.12,183.0,,2025-06-24 16:33:06,true
Cohere,Aya Expanse 8B,8000,16.0,3.13,166.7,,2025-06-24 16:33:06,true
Lambda (FP8),Llama 4 Maverick (FP8),1000000,51.0,3.14,169.8,,2025-06-24 16:33:06,true
Nebius Fast,Llama 3.1 8B Fast,128000,24.0,3.16,186.0,,2025-06-24 16:33:06,true
OpenAI,GPT-4o (March 2025),128000,50.0,3.23,182.1,,2025-06-24 16:33:06,true
Lambda,LFM 40B,32000,22.0,3.24,162.1,,2025-06-24 16:33:06,true
Together.ai Turbo,Llama 3.1 70B Turbo,128000,35.0,3.31,168.2,,2025-06-24 16:33:06,true
Cohere,Command-R (Mar '24),128000,15.0,3.32,157.8,,2025-06-24 16:33:06,true
Mistral,Codestral (Jan '25),256000,28.0,3.32,163.7,,2025-06-24 16:33:06,true
Fireworks (Base),Llama 4 Maverick (Base),1000000,51.0,3.36,170.3,,2025-06-24 16:33:06,true
Mistral,Ministral 8B,128000,22.0,3.37,161.0,,2025-06-24 16:33:06,true
Mistral,Mistral Small 3,32000,35.0,3.37,161.5,,2025-06-24 16:33:06,true
Snowflake Snowflake,Llama 3.3 70B Snowflake,8000,41.0,3.39,171.9,,2025-06-24 16:33:06,true
Amazon Bedrock,Nova Pro,300000,37.0,3.46,161.7,,2025-06-24 16:33:06,true
Cohere,Command A,256000,40.0,3.48,152.8,,2025-06-24 16:33:06,true
Together.ai Turbo,Llama 3.2 3B Turbo,128000,20.0,3.48,157.7,,2025-06-24 16:33:06,true
Fireworks (Base),Llama 4 Scout (Base),1000000,43.0,3.49,164.5,,2025-06-24 16:33:06,true
Google Vertex,Codestral (Jan '25) Vertex,128000,28.0,3.51,148.0,,2025-06-24 16:33:06,true
OpenAI,GPT-4o (Nov '24),128000,41.0,3.51,159.8,,2025-06-24 16:33:06,true
Mistral,Codestral (May '24),33000,20.0,3.53,154.3,,2025-06-24 16:33:06,true
Microsoft Azure (FP8),Llama 4 Maverick (FP8),128000,51.0,3.54,156.2,,2025-06-24 16:33:06,true
Microsoft Azure,GPT-4.1,1000000,53.0,3.56,207.0,,2025-06-24 16:33:06,true
kluster.ai (FP8),Llama 4 Maverick (FP8),1000000,51.0,3.57,159.9,,2025-06-24 16:33:06,true
Fireworks,Llama 3.1 70B,128000,35.0,3.59,154.3,,2025-06-24 16:33:06,true
Amazon Bedrock,Llama 4 Scout,128000,43.0,3.62,159.9,,2025-06-24 16:33:06,true
Mistral,Mistral Small (Feb '24),33000,23.0,3.63,148.2,,2025-06-24 16:33:06,true
Parasail (FP8),Mistral NeMo (FP8),131000,20.0,3.68,149.2,,2025-06-24 16:33:06,true
SambaNova,Llama 3.1 405B,16000,40.0,3.68,167.0,,2025-06-24 16:33:06,true
Nebius Fast,Llama 3.3 70B Fast,128000,41.0,3.69,158.3,,2025-06-24 16:33:06,true
Parasail,Llama 3.1 405B,131000,40.0,3.7,167.0,,2025-06-24 16:33:06,true
Fireworks,Llama 3.3 70B,128000,41.0,3.72,147.5,,2025-06-24 16:33:06,true
Mistral,Mistral NeMo,128000,20.0,3.73,144.5,,2025-06-24 16:33:06,true
GMI,DeepSeek V3 0324 (Mar '25),131000,53.0,3.76,163.8,,2025-06-24 16:33:06,true
Mistral,Devstral,256000,34.0,3.82,141.8,,2025-06-24 16:33:06,true
